id,conference,title,year,authors,doi
2329,EuroVis,Topology-based Smoothing of 2D Scalar Fields with C1-Continuity,2010,"Weinkauf, Tino, Gingold, Yotam, Sorkine, Olga",10.1111/j.1467-8659.2009.01702.x
2603,VAST,Interactive visual analysis of location reporting patterns,2009,"Overby, D., Keyser, J., Wall, J.",10.1109/VAST.2009.5333453
2816,VAST,Pointwise local pattern exploration for sensitivity analysis,2011,"Guo, Zhenyu, Ward, M.O., Rundensteiner, E.A., Ruiz, C.",10.1109/VAST.2011.6102450
2501,BioVis,Metrics for comparing explicit representations of interconnected biological networks,2011,"Mayerich, D., Bjornsson, C., Taylor, J., Roysam, B.",10.1109/BioVis.2011.6094051
2896,VAST,Cell phone mini challenge award: Social network accuracy-- exploring temporal communication in mobile call graphs,2008,"Ye, Qi, Zhu, Tian, Hu, Deyong, Wu, Bin, Du, Nan, Wang, Bai",10.1109/VAST.2008.4677389
811,SciVis,In Situ Exploration of Large Dynamic Networks,2011,"Hadlak, S., Schulz, H., Schumann, H.",10.1109/TVCG.2011.213
4067,InfoVis,Multiscale visualization of small world networks,2003,"Auber, D., Chiricota, Y., Jourdan, F., Melancon, G.",10.1109/INFVIS.2003.1249011
474,SciVis,Visualizing Network Traffic to Understand the Performance of Massively Parallel Simulations,2012,"Landge, A.G., Levine, J.A., Bhatele, A., Isaacs, K.E., Gamblin, T., Schulz, M., Langer, S.H., Bremer, P.-T., Pascucci, V.",10.1109/TVCG.2012.286
1549,IV,Revealing Subnetwork Roles using Contextual Visualization: Comparison of Metabolic Networks,2008,"Bourqui, R., Jourdan, F.",10.1109/IV.2008.93
4279,PacificVis,A Study of Mental Maps in Immersive Network Visualization,2020,"Kotlarek, J., Kwon, O., Ma, K., Eades, P., Kerren, A., Klein, K., Schreiber, F.",10.1109/PacificVis48177.2020.4722
2975,VAST,Shape grammar extraction for efficient query-by-sketch pattern matching in long time series,2016,"Muthumanickam, P. K., Vrotsou, K., Cooper, M., Johansson, J.",10.1109/VAST.2016.7883518
4983,IVI,Patterns for visualization evaluation,2013,"Elmqvist, Niklas, Yi, Ji Soo",10.1177/1473871613513228
2711,VAST,An insight- and task-based methodology for evaluating spatiotemporal visual analytics,2014,"Gomez, S.R., Guo, Hua, Ziemkiewicz, C., Laidlaw, D.H.",10.1109/VAST.2014.7042482
5601,VAST,SMARTexplore: Simplifying High-Dimensional Data Analysis through a Table-Based Visual Analytics Approach,2018,"Blumenschein, M., Behrisch, M., Schmid, S., Butscher, S., Wahl, D. R., Villinger, K., Renner, B., Reiterer, H., Keim, D. A.",10.1109/VAST.2018.8802486
4271,PacificVis,Visualizing Deep Neural Networks for Text Analytics,2018,"Nie, S., Healey, C., Padia, K., Leeman-Munk, S., Benson, J., Caira, D., Sethi, S., Devarajan, R.",10.1109/PacificVis.2018.00031
1830,PacificVis,Visualization and analysis of email networks,2007,"Fu, Xiaoyan, Hong, Seok-Hee, Nikolov, N.S., Shen, Xiaobin, Wu, Yingxin, Xu, K.",10.1109/APVIS.2007.329302
106,VAST,VA<sup>2</sup>: A Visual Analytics Approach for Evaluating Visual Analytics Applications,2016,"Blascheck, T., John, M., Kurzhals, K., Koch, S., Ertl, T.",10.1109/TVCG.2015.2467871
3507,journal,PassVizor: Toward Better Understanding of the Dynamics of Soccer Passes,2021,"Xie, X., Wang, J., Liang, H., Deng, D., Cheng, S., Zhang, H., Chen, W., Wu, Y.",10.1109/TVCG.2020.3030359
1781,IV,Using Visual Analysis to Weight Multiple Signatures to Discriminate Complex Data,2011,"Bueno, R., Kaster, D.S., Razente, H.L., Barioni, M.C.N., Traina, A. J M, Traina, C.",10.1109/IV.2011.59
5571,VAST,FDive: Learning Relevance Models Using Pattern-based Similarity Measures,2019,"Dennig, F. L., Polk, T., Lin, Z., Schreck, T., Pfister, H., Behrisch, M.",10.1109/VAST47406.2019.8986940
425,InfoVis,Generalized Topological Simplification of Scalar Fields on Surfaces,2012,"Tierny, J., Pascucci, V.",10.1109/TVCG.2012.228
2577,VAST,Geovisual analytics for self-organizing network data,2009,"Quan, Ho Van, Astrom, T., Jern, M.",10.1109/VAST.2009.5332610
3393,VAST,Graphiti: Interactive Specification of Attribute-Based Edges for Network Modeling and Visualization,2018,"Srinivasan, A., Park, H., Endert, A., Basole, R. C.",10.1109/TVCG.2017.2744843
3891,IV,"Smoothed Multiple Binarization -- Using PQR Tree, Smoothing, Feature Vectors and Thresholding for Matrix Reordering",2016,"Medina, B. F., Kawakami, W. H., Silva, M. R. da, Silva, C. G. da",10.1109/IV.2016.22
2940,VAST,[COMM]gregater: A toolset for temporal communication patterns and dynamic network structure,2015,"Tang, Hui, Pan, Chao, Yu, Bing, Du, Weidan, Wei, Shuang, Li, Mingran, Guo, Chen, Cheng, Longjie, Hu, Kai, Zhang, Rongrong, Li, Xinzhe, Chen, YingJie Victor, Qian, Zhenyu Cheryl, Zhu, Yu Michael",10.1109/VAST.2015.7347666
4057,InfoVis,Visual unrolling of network evolution and the analysis of dynamic discourse,2002,"Brandes, U., Corman, S. R.",10.1109/INFVIS.2002.1173160
3226,journal,Topology-Constrained Shape Correspondence,2020,"Li, X., Wen, C., Wang, L., Fang, Y.",10.1109/TVCG.2020.2994013
5246,IVI,Science of Analytical Reasoning,2009,"Ribarsky, William, Fisher, Brian, Pottenger, William M.",10.1057/ivs.2009.28
181,SciVis,Multi-field Pattern Matching based on Sparse Feature Sampling,2016,"Wang, Zhongjie, Seidel, H.-P., Weinkauf, T.",10.1109/TVCG.2015.2467292
465,InfoVis,Multivariate Data Analysis Using Persistence-Based Filtering and Topological Signatures,2012,"Rieck, B., Mara, H., Leitte, H.",10.1109/TVCG.2012.248
3665,journal,Net2Vis - A Visual Grammar for Automatically Generating Publication-Ready CNN Architecture Visualizations,2021,"Bauerle, A., Onzenoodt, C. Van, Ropinski, T.",10.1109/TVCG.2021.3057483
3323,Vis,AirVis: Visual Analytics of Air Pollution Propagation,2020,"Deng, Z., Weng, D., Chen, J., Liu, R., Wang, Z., Bao, J., Zheng, Y., Wu, Y.",10.1109/TVCG.2019.2934670
1553,IV,Multivariate Network Exploration with JauntyNets,2013,"Jusufi, I., Kerren, A., Zimmer, B.",10.1109/IV.2013.3
1885,PacificVis,Visual Statistics for Collections of Clustered Graphs,2008,"Brandes, U., Lerner, J., Lubbers, M.J., McCarty, C., Molina, J.L.",10.1109/PACIFICVIS.2008.4475458
3028,InfoVis,Comparing Similarity Perception in Time Series Visualizations,2019,"Gogolou, A., Tsandilas, T., Palpanas, T., Bezerianos, A.",10.1109/TVCG.2018.2865077
370,VAST,Supporting the Visual Analysis of Dynamic Networks by Clustering associated Temporal Attributes,2013,"Hadlak, S., Schumann, H., Cap, C.H., Wollenberg, T.",10.1109/TVCG.2013.198
2908,VAST,EgoNetCloud: Event-based egocentric dynamic network visualization,2015,"Liu, Qingsong, Hu, Yifan, Shi, Lei, Mu, Xinzhu, Zhang, Yutao, Tang, Jie",10.1109/VAST.2015.7347632
2060,PacificVis,Bridging the Gap of Network Management and Anomaly Detection through Interactive Visualization,2014,"Zhang, Tao, Liao, Qi, Shi, Lei",10.1109/PacificVis.2014.22
5056,IVI,Integrated visual analysis of patterns in time series and text data - Workflow and application to financial data analysis,2015,"Wanner, Franz, Jentner, Wolfgang, Schreck, Tobias, Stoffel, Andreas, Sharalieva, Lyubka, Keim, Daniel A",10.1177/1473871615576925
553,journal,Topological Landscapes: A Terrain Metaphor for Scientific Data,2007,"Weber, G.H., Bremer, P.-T., Pascucci, V.",10.1109/TVCG.2007.70601
2531,VAST,Interactive querying of temporal data using a comic strip metaphor,2010,"Jin, Jing, Szekely, P.",10.1109/VAST.2010.5652890
114,VAST,Temporal MDS Plots for Analysis of Multivariate Data,2016,"Ja@ckle, D., Fischer, F., Schreck, T., Keim, D.A.",10.1109/TVCG.2015.2467553
4066,InfoVis,Visualizing evolving networks: minimum spanning trees versus pathfinder networks,2003,"Chen, Chaomei, Morris, S.",10.1109/INFVIS.2003.1249010
5263,IVI,Towards a taxonomy of movement patterns,2008,"Dodge, Somayeh, Weibel, Robert, Lautenschutz, Anna-Katharina",10.1057/palgrave.ivs.9500182
1997,PacificVis,Reordering Massive Sequence Views: Enabling temporal and structural analysis of dynamic networks,2013,"van den Elzen, S., Holten, D., Blaas, J., van Wijk, J.J.",10.1109/PacificVis.2013.6596125
1593,IV,Visual Analysis of Complex Networks for Business Intelligence with Gephi,2013,"Heymann, S., Le Grand, B.",10.1109/IV.2013.39
5012,IVI,Visual Unrolling of Network Evolution and the Analysis of Dynamic Discourse,2003,"Brandes, Ulrik, Corman, Steven R.",10.1057/palgrave.ivs.9500037
5154,IVI,Kaleidomaps: A New Technique for the Visualization of Multivariate Time-Series Data,2007,"Bale, Kim, Chapman, Paul, Barraclough, Nick, Purdy, Jon, Aydin, Nizamettin, Dark, Paul",10.1057/palgrave.ivs.9500154
